Name,URL,Collection,Opening Hours,Address,Latitude,Longitude,Price Range,Alcohol,Rating,Rating Count
Mekong,/hyderabad/mekong-begumpet,Asian Restaurants,"12noon – 3pm, 7pm – 10:30pm (Today)","Green Lands, Begumpet, Hyderabad",17.43749815,78.4546271,"3,500",No,4.9,1374
Haiku,/hyderabad/haiku-gachibowli,Asian Restaurants,12noon – 10:45pm (Today),"1-66/1/RI, Survey 136/2 And 136/4, Ramky Grandoise, Near Ramky Towers, Gachibowli, Hyderabad",17.4459889,78.365501,"2,400",No,4.7,2712
Taro,/hyderabad/taro-1-jubilee-hills,Asian Restaurants,12noon – 11pm (Today),"Plot 373, Road 10 & 22, Jubilee Hills, Hyderabad",17.43325,78.4083312,"3,500",Yes,4.4,536
PaPaYa  - Modern Asian Bistro,/hyderabad/papaya-modern-asian-bistro-film-nagar,Asian Restaurants,12noon – 11pm (Today),"8-2-293/82/Jiii/377, Circle 18, Film Nagar, Hyderabad",17.4139621,78.4061934,"2,000",Yes,4.4,623
Ta.Ma.Sha - Restro Cafe,/hyderabad/ta-ma-sha-restro-cafe-jubilee-hills,Asian Restaurants,11:30am – 10:30pm (Today),"Flat 105-B, Block A, F, Supreme Enclave, Gut Tala, Begumpet Circle 30, Jubilee Hills, Hyderabad",17.43931115,78.3979708,"1,200",No,4,788
7 Sisters,/hyderabad/7-sisters-kondapur,Asian Restaurants,12noon – 11:30pm (Today),"2-17/7-A, Near NAC Gate, Shilpa Hills, Izzat Nagar, Kondapur, Serilingampally, Kondapur, Hyderabad",17.46846005,78.37607324,"1,800",No,4.6,4117
Noho - Progressive Asian House,/hyderabad/noho-progressive-asian-house-jubilee-hills,Asian Restaurants,"12noon – 3:30pm, 7pm – 11:30pm (Today)","8-2-293/A/1057/G, Ground To 3 Rd Floor, Road 45, Circle 18, Jubilee Hills, Hyderabad",17.4271505,78.406045,"3,000",Yes,4.5,527
Yi Jing - ITC Kohenur,/hyderabad/yi-jing-itc-kohenur-hitech-city,Asian Restaurants,"12:30pm – 2:45pm, 7pm – 11:45pm (Today)","Plot 5, Survey 83/1, Opposite Inorbit Mall, Hitech City, Hyderabad",17.43230661,78.3855867,"3,000",No,4.5,469
Chubby Cho,/hyderabad/chubby-cho-jubilee-hills,Asian Restaurants,12noon – 11:30pm (Today),"Plot 1335/A, 3rd Floor, Road 45, Jubilee Hills, Hyderabad",17.4254032,78.40849612,"1,200",No,4.3,1904
Sakura - A Far Eastern Kitchen,/hyderabad/sakura-a-far-eastern-kitchen-1-jubilee-hills,Asian Restaurants,"12noon – 3:30pm, 7pm – 10:30pm (Today)","1259/A, 4th Floor, Jahnavi Trade Centre, Metro Pillar 1621, Road 36, Jubilee Hills, Hyderabad",17.42864479,78.41289461,"1,600",No,4.4,825
ASIE,/hyderabad/asie-gachibowli,Asian Restaurants,"12noon – 3:30pm, 7pm – 10:45pm (Today)","Plot 43, Survey 322, Puppalguda Village, Serlingampally, Circle 20, Gachibowli, Hyderabad",17.41273993,78.3353381,"1,400",No,4.6,754
Ko Ko Kai - Asian Kitchen And Cocktails,/hyderabad/ko-ko-kai-asian-kitchen-and-cocktails-gandipet,Asian Restaurants,"12noon – 3:30pm, 7pm – 10:30pm (Today)","House 11-5/1/431, Survey 156, 4th Floor & 5th Floor, Block K-3, Narsingi Village, Gandipet, Hyderabad",17.38512444,78.3298798,"1,000",No,4.5,555
Golden Dragon - Taj Krishna,/hyderabad/golden-dragon-taj-krishna-banjara-hills,Asian Restaurants,"12:30pm – 3pm, 7pm – 11pm (Today)","Taj Krishna, Road 1, Banjara Hills, Hyderabad",17.4164569,78.4496626,"3,000",No,4.4,227
Foo Inorbit,/hyderabad/foo-inorbit-madhapur,Asian Restaurants,12noon – 12midnight (Today),"Level 4, Inorbit Mall Cyberabad, Apiic Software Layout, Madhapur, Hyderabad",17.43478702,78.38650911,"2,000",No,4.5,817
Kodi Kura Chitti Gaare,/hyderabad/kodi-kura-chitti-gaare-lingampally,Non-Veg Restaurants,11:30am – 11pm (Today),"Plot 196, Huda Layout, Nallagandla Village, Serilingampally, Lingampally, Hyderabad",17.47706508,78.30613866,"1,600",No,4,123
